Comment,Designator,Footprint,LCSC Part Number
"SW_SPST","SW501,SW502,SW601,SW603,SW605","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"SW_SPDT_MSM","SW503","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW_SPDT","SW504,SW602,SW604,SW701","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW_Push_SPDT","SW505","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"scale4V","TP601","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm",""
"L7805","U201","Package_TO_SOT_THT:TO-220-3_Horizontal_TabUp",""
"AMS1117-5.0","U202","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C6187"
"LM321","U203,U304,U501","Package_TO_SOT_SMD:SOT-23-5","C7972"
"ICL7660S","U204","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","C7535"
"LM324","U301,U302,U401,U402","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C71035"
"4040","U303","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C725347"
"ENVGEN8","U502","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"TL082","U601,U602,U701","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C9385"
